0,1
True,"Savršeno! U samom centru grada. Dobre cijene, velike porcije i fina hrana. Preporučam toplo svima koji su gladni!"
True,"Godišnja klubska skupština BK Sljeme. Pozdrav Mariju i osoblju na osličnoj uslužnosti i brzini tijekom cijele večeri. Gosti su jako zadovoljni. Žirafu smo tradicionalno odabrali radi dobre cijene, potrošilo se! Hvala"
True,"Hrana je izuzetno fina i ima okus kao da je sve svježe .Osoblje je ljubazno.Nikada nisam jeo tako fino zamotane tortilje, i da ništa ne ispada iz njih, a i sira ima na pretek."
True,"Odlična kava 😃☕, mirno mjesto, kao i vrlo ljubazan i uporan konobar Danijel koji ima iznimno razvijene komunikacijske vještine i izrazito lijepo obavlja svoj posao konobara. ☺️ Kad smo ga mama i ja pitale kakva je hrana, imao je strpljenja sve opisati te nam preporučio tortilju s piletinom u umaku od šampinjona. Nismo požalili, doslovno se troje najede od njih dvije koliko ih dobijete. 🌯😉 Topla preporuka."
True,Hvala ekipi iz Cvjetnog objekta Žirafa večeras na ovom!Hrana pre. :)
True,"Konobari humoristični i vrlo uslužni. Hrana je fantastična, cijene su pristupačne, deserti izvrsno napravljeni. Preporučam ići tijekom tjedna jer za vikend su gužve i čeka se dugo hrana, naravno, ako ste redovni gost, nekada vas posluže prije ostalih. 😉"
False,"Vlasnik picajzla, nadrkan i ustogljen..lijepo uredeno, cijene pristupacne, konobar ekstra."
True,Odlično mjesto za biljar s mnogo stolova. Prijepodne je cijena vrlo pristupačna
True,"Klub za poželjeti.Novo, biljar se plaća po satu. Lijepo jednostavno uređenje"
True,Top ambijent skoro svaki dan sam tamo igram pikado ili biljar. Sve profesionalno!
True,"Vrhunski uređen prostor! Možeš birati biljar, pikado ili samo kava u lijepom ambijentu - za svakog ponešto!"
True,"puno stolova, uredno uređeno, normalne cijene. Napokon mjesto za ubiti večer u biljaru 😊"
True,"Dobro biljarski stolovi i relativno jeftina cuga blizu centra, TOP!"
True,Odlična hrana i usluga .. ugodan ambijent .. svaka čast..
False,"Već tri desetljeća idem u taj lokal. Ništa se nije promijenilo. Čak su i stolice iste 😉 Ipak 4 zvjezdice, iz sentimentalnih razloga. Hrana je ukusna. Preporučam mamuta ili mamuticu. Vino je domaće, laganica, ne boli glava 😉. Osoblje se mijenja češće nego namještaj i ambijent ali je ljubazno. Desert je ukusan, preporučam palačinke sa vajnšatoom, a ni ostalo nije loše."
True,"Od 2000. godine idem u ovaj restoran,daleko najdrazi restoran od svih. Pohvale od ljubaznog osoblja,perfektne kuhinje do opustenog ugodjaja! Od izlaska sa djevojkom do posjete rodbine,ovaj restoran mi je uvijek prvi izbor."
True,"Prvi put i vjerojatno ne posljednji. Hrana vrhunskog okusa,osoblje izuzetno ljubazno i na kraju,cijena smiješna."
False,"Više nije kao što je bilo,jedino konobar Tomislav se trudio i bio na nivou!"
True,"Ako želite osjetiti bilo starog Zagreba, Plješivička klet je idealno mjesto. Obiteljski restoran s dugogodišnjom tradicijom i odličnom domaćom hranom!If you want to feel the heatthbeat of old Zagreb, Plješivička klet is the ideal place.  A family owned restaurant with a long tradition and excellent local food!"
True,"Odličan steak, šampinjoni sa žara jako lijepo pripremljeni, krumpir odlično ispečen, čokoladna torta za prste polizati, a i kruh se topi u ustima.Osoblje jako ugodno i raspoloženo, sve preporuke i dolazimo opet 😋"
True,"Teletina s krumpirom, te zagrebački odrezak za najvišu ocjenu. Međimurska gibanica šalje u drugu dimenziju!"
True,"Stari lokal iz 1974 godine! Dokazuje da je kvaliteta hrane i usluge ispred uređenja. Moja preporuka juha ajngenmahtec i juneći odrezak sa roštilja, njihov poznati savski mamut (ramstek)."
True,Vrlo ukusna hrana koje poslužuje ljubazno osoblje !!
False,"Narucen bacon burger s DUPLOM pljeskavicom. Kad sam dobio burger nisam znao dal da se smijem ili placem. Pljeskavice su bile DOSLOVNO tanke kao papir, te uz to zilave i gumene. Pa te dvije pljeskavice skupa nisu priblizno velicine jedne pljeskavice normalne velicine. Tuzno i razocaravajuce."
True,"Ukusno, obilno, povoljno - ne može bolje od toga 😄. Valentino nas je ljubazno i ekspresno poslužio i dao nam odličnu preporuku. Svaka čast!!"
True,"Profesionalni, ljubazni  dragi, odlično spremljenih jela, ukusno i brižno pripremljeno.Plus fantastični deserti, uštipci za sada meni osobno vode  Sve preporuke"
False,"Žalono, narucite salatu dobijete pola porcije jos uz to vam zaborave donjet dresing. Nakon toga nam djelatnica kako je njoj zao al ona tu ne moze nista zaboravila je procitat.... A najzalosnije od svega sto tuzno izgleda...."
False,"Jako loša hrana, jedva jestiva. Njoke potpuno raspadnute, kao tekućina, sir bezokusan, a burger s krvavom pljeskavicom. Sve u svemu, dosta loše."
True,Odlično opustajuce mjesto za izlazak na piće ili zagrijavanje prije kluba. Odnedavno izgleda da ima uvijet boca zestice ili 2 boce vina po stolu.
False,Jako loša punjena pljeskavica. Prilog koji aam tražila nisam dobila. Dobila sam nekakvu salatu.
False,"Jako loše iskustvo, prijateljica i ja smo dobile trovanje nakon konzumacije hrane."
False,"Narucila sam hranu za van u nadi da cu stvarno dobiti onako kao sa slike (ne tako servirano, ali bar tu hranu!)Naravno, nisam."
True,"Burger je velik i izvrstan,,sve na najvišoj razini."
False,"Dobro mjesto za napit se ako ti je to svrha u zivotu. Glazba je uglavnom domaci tres, pa kad skombiniras to i pijane ljude dobijes neartikulirano urlanje.. nije moj nacin zabave."
True,Odlični konobari pogotovo Terezija i Valentino! I sve ostalo isto super i cuga i hrana! Hvala puno na svemu 😊
False,"Užasna hrana, došla je jako hladna, nisu nam dostavili ni beštek s jelima."
True,"Ovo je mjesto za najveće gurmane. Biftek, prekmurska i kavica. Ma bravo Plešivička."
True,Odlicna kuhinja  sa 30. Godisnjom tradicijom Tradicionalna Plješivicka kuhinja .
True,"Sta rec medium mamutica nema bolje kombinacije cak i za one jako gladne. Vele da slika govori 1000 rijeci onda ukusi govore 1000000. Fina klopa dobre cijene svakako prepirucujemvda odete tamo i probate nesto sa njihovog bogatog menia, cak i najzahtjevniji ce nac nesto po svom ukusu."
True,"Odlican restoran, svakako preporucam. Konobar Mihael je za 5.🔝"
True,Jako ugodno osoblje i fina hrana. Super cijene. Svakako preporuka
True,"Obiteljsko druženje uz sjajnu klopu s grila. Sve je bilo kvalitetno i veoma ukusno. Lagana preporula, uz žal što nisam napravio slike da dodam uz ovu vrlo kratku recenziju."
True,"Dobar roštilj, ali i kiselo zelje sjajno miriše. Dobra tradicionalna hrana je i razlog što restoran već dugo radi"
True,"Savrseno mjesto za osjetiti se kao “kod kuce”. Odlicna hrana, obilne porcije, super atmosfera i usluzno osoblje. Sve pohvale i vidimo se opet."
True,"Osoblje na visokom nivou, hrana prava domača i vrlo ukusna, a ambijent nema ljepseg"
False,"Božični domjenak, hrana izvrsna, osoblje ljubazno i nenametljivo."
False,"Predivno okruženje, dovoljno sadržaja za djecu, konobari vrlo uslužni i profesionalni, hrana nažalost prosječna, roštilj ništa posebno."
True,Ovo je jedan od bolji restorana koji sam posjetila do sada. Prije svega bih pohvalila iznimno ljubazno osoblje koji su veoma usluzni te stoje na raspolaganji svake sekunde. O ambijentu da ne govorim...😍Najvise mi se dojmila juha od vrganja te poslije nje i teletina koja je jako socna i ukusna. Preporucila bih vas svima! Bravo!
False,"Doživljaj sa svadbe. Hrana osrednja kao i osoblje, plate premale štoviše oskudne. Nakon zahtjeva za dodatom porcijom mesa odgovor konobara - nema. Omjer cijene i kvalitete u velikom nesrazmjeru. Sramota👎"
True,Fantasticna usluga. Konobari se brinu o svemu a pri tome nisu dosadni. Hrana za pohvalu kao i deserti. Jako lijep ambijent i jako lijepo uređeno dvoriste!
False,"Super je bilo, ima dosta igrališta tako da su klinci uživali jer je sve ograđeno tako da ih se može pustiti. Hrana je dosta dobra a osoblje vrlo uslužno"
True,Dobra i ukusna hrana. Prekrasan ambijent. Ljubazno osoblje s jednim uvijek nasmješenim konobarom Nenadom
False,"Radnici su puno uigraniji u odnosu na one u Rijeci. Burgeri su meni osobno puno bolji nego u konkurentnim franšizama. Meso je jako ukusno i sadrži fine arome dima. Coca cola je razvodnjena, odnosno ima takav okus. Smatram da su cijene ipak malo previsoke s obzirom na tip hrane."
True,Odlicna usluga ali pomfrit bi moga biti pecen u friskom ulju a ne da se na njemu vide ostaci izgorenog ulja
False,"Hrana KRIMINALNA, meso prastaro,crno kao ugljen. U smjeni 2 ljudi, rad bez kapa u kuhinji. Katastrofa. Izbjegavati u sirokom krugu."
True,"Hrana je odlična, ukusna i veličina porcije je u redu. Cijene nisu pretjerane i prate cijene sličnih fast food lanaca. Prednost Burger King-a u Arena centru je što ima otvorenu terasu tako da se može uživati na suncu. Nedostatak je što nema puno stolova pa je teško naći slobodan stol na terasi. Preporuka: DOUBLE CHEESEBURGER XXL, XXL KRUMPIR IĆI I XXL PIĆE 😋😁👍"
False,"Definitivno najgora hrana koju smo probali u nazad jako dugo, ništa nije svježe, sokovi su ishlapljeni, umaci bez okusa, krumpirići stari a pecivo iz Lidla, dva meni burgera i kids meni 25e, nije vrijedno tih novaca."
True,"Odlična hrana, usluga brza, u ugođaj dobar, ponekad zna biti veća gužva nego inače, al sve u svemu odlično. 😁"
True,Brza ljubazna poslugaVrlo cisto i urednoBez cekanja 👍
False,Za mene jedan od boljih restorana. Puno ukusnija hrana od drugog lanca brze prehrane. Meso ljepo sočno prilozi isto tako ukusni.
False,"Katastrofa. Double grana padano, a unutra 1 listić, pardon kvadratić. Krumpirića 3 i pol u vrećici, pecivo suho i jadno, a ni meso ništa bolje. Više sam se najela ovog razvodnjenog spritea i papirnate slamke. 80kn bačenih u vjetar."
True,"Mjesto za obitelji sa djecom, odlična teletina ispod peke"
True,"kao fotograf za vjencanja mogu reci da je jedna od najboljih sala za vjencanja . Svaka preporuka . Osoblje profesionalno , rasvjeta vrhunska ...sve naj"
False,"Pa ono, objektić je bio okej. Nemam kaj drugog za dodat. Hrana je bila o kej. Nema previse stvari za vidjeti osim 2 etno kućice koje mošte da pogleate izvana, nekakav parkić za djecu. Ocekivala sam malo vise atrakcija mozda, okej mjesto za poklopat. Osoblje je super"
True,"Obiteljski ručak.. usluga top.. djeca uživala, klopa i deset🔝.. uz Selamana još je sve na kvadrat!"
